origin_district,origin_state,origin_lat,origin_lon,dest_district,dest_state,dest_lat,dest_lon
Adilabad,Andhra Pradesh,19.254433024782802,78.96672966506816,Karimnagar,Andhra Pradesh,18.546226728030568,79.23473572268668
Adilabad,Andhra Pradesh,19.254433024782802,78.96672966506816,Nizamabad,Andhra Pradesh,18.523969408729606,78.13937539271663
Adilabad,Andhra Pradesh,19.254433024782802,78.96672966506816,Chandrapur,Maharashtra,20.11674218438247,79.43777723072257
Adilabad,Andhra Pradesh,19.254433024782802,78.96672966506816,Garhchiroli,Maharashtra,19.78228246793411,80.23423359824041
Adilabad,Andhra Pradesh,19.254433024782802,78.96672966506816,Nanded,Maharashtra,19.115179887848964,77.62064375499766
Adilabad,Andhra Pradesh,19.254433024782802,78.96672966506816,Yavatmal,Maharashtra,20.083930851746448,78.15805947724448
Anantapur,Andhra Pradesh,14.475092112469685,77.57084647775933,Chittoor,Andhra Pradesh,13.456597359032882,79.0039376606638
Anantapur,Andhra Pradesh,14.475092112469685,77.57084647775933,Cuddapah,Andhra Pradesh,14.450746523406918,78.77430269817063
Anantapur,Andhra Pradesh,14.475092112469685,77.57084647775933,Kurnool,Andhra Pradesh,15.528010901701823,78.00002848234158
Anantapur,Andhra Pradesh,14.475092112469685,77.57084647775933,Bellary,Karnataka,15.105032612912684,76.53055842639326
Anantapur,Andhra Pradesh,14.475092112469685,77.57084647775933,Chitradurga,Karnataka,14.162051210043671,76.51248936822329
Anantapur,Andhra Pradesh,14.475092112469685,77.57084647775933,Kolar,Karnataka,13.355866113887384,78.01226111599217
Anantapur,Andhra Pradesh,14.475092112469685,77.57084647775933,Tumkur,Karnataka,13.513510981500342,76.9414358202602
Chittoor,Andhra Pradesh,13.456597359032882,79.0039376606638,Cuddapah,Andhra Pradesh,14.450746523406918,78.77430269817063
Chittoor,Andhra Pradesh,13.456597359032882,79.0039376606638,Nellore,Andhra Pradesh,14.429843338850416,79.72296434973765
Chittoor,Andhra Pradesh,13.456597359032882,79.0039376606638,Kolar,Karnataka,13.355866113887384,78.01226111599217
Chittoor,Andhra Pradesh,13.456597359032882,79.0039376606638,Dharmapuri,Tamil Nadu,12.29558351588905,78.0974203074054
Chittoor,Andhra Pradesh,13.456597359032882,79.0039376606638,Thiruvallur,Tamil Nadu,13.23032852238684,79.92518938442433
Chittoor,Andhra Pradesh,13.456597359032882,79.0039376606638,Vellore,Tamil Nadu,12.800637803865245,78.99814820456407
Cuddapah,Andhra Pradesh,14.450746523406918,78.77430269817063,Kurnool,Andhra Pradesh,15.528010901701823,78.00002848234158
Cuddapah,Andhra Pradesh,14.450746523406918,78.77430269817063,Nellore,Andhra Pradesh,14.429843338850416,79.72296434973765
Cuddapah,Andhra Pradesh,14.450746523406918,78.77430269817063,Prakasam,Andhra Pradesh,15.611367900214235,79.5095038564194
