State,District,Disease,YearMonth,Year,Month,Cases,Cases_Lag1,Cases_Lag2,Cases_Lag3,Target_Cases,Risk,Rolling_Sum,State_Enc,District_Enc,Disease_Enc,Target_Enc
Andaman & Nicobar Islands,South Andaman’S,Acute Diarrheal Disease,2023-08,2023,8,18.0,0.0,0.0,0.0,0.0,None,18.0,0,444,0,3
Andaman & Nicobar Islands,South Andaman’S,Acute Diarrheal Disease,2023-09,2023,9,0.0,18.0,0.0,0.0,0.0,None,18.0,0,444,0,3
Andaman & Nicobar Islands,South Andaman’S,Acute Diarrheal Disease,2023-10,2023,10,0.0,0.0,18.0,0.0,0.0,None,18.0,0,444,0,3
Andaman And Nicobar Islands,South Andaman,Acute Diarrheal Disease,2022-09,2022,9,23.0,0.0,0.0,0.0,0.0,None,23.0,1,443,0,3
Andaman And Nicobar Islands,South Andaman,Acute Diarrheal Disease,2022-10,2022,10,0.0,23.0,0.0,0.0,0.0,None,23.0,1,443,0,3
Andaman And Nicobar Islands,South Andaman,Acute Diarrheal Disease,2022-11,2022,11,0.0,0.0,23.0,0.0,0.0,None,23.0,1,443,0,3
Andhra Pradesh,Ananthapur,Food Poisoning,2021-03,2021,3,5.0,0.0,0.0,0.0,0.0,None,5.0,2,15,19,3
Andhra Pradesh,Ananthapur,Food Poisoning,2021-04,2021,4,0.0,5.0,0.0,0.0,0.0,None,5.0,2,15,19,3
Andhra Pradesh,Ananthapur,Food Poisoning,2021-05,2021,5,0.0,0.0,5.0,0.0,0.0,None,5.0,2,15,19,3
Andhra Pradesh,Eluru,Acute Diarrheal Disease,2023-08,2023,8,93.0,0.0,0.0,0.0,0.0,None,93.0,2,150,0,3
Andhra Pradesh,Eluru,Acute Diarrheal Disease,2023-09,2023,9,0.0,93.0,0.0,0.0,0.0,None,93.0,2,150,0,3
Andhra Pradesh,Eluru,Acute Diarrheal Disease,2023-10,2023,10,0.0,0.0,93.0,0.0,0.0,None,93.0,2,150,0,3
Andhra Pradesh,Krishna,Acute Diarrheal Disease,2022-04,2022,4,30.0,0.0,0.0,0.0,0.0,None,30.0,2,275,0,3
Andhra Pradesh,Krishna,Acute Diarrheal Disease,2022-05,2022,5,0.0,30.0,0.0,0.0,0.0,None,30.0,2,275,0,3
Andhra Pradesh,Krishna,Acute Diarrheal Disease,2022-06,2022,6,0.0,0.0,30.0,0.0,0.0,None,30.0,2,275,0,3
Andhra Pradesh,Nandyal,Acute Diarrheal Disease,2023-08,2023,8,27.0,0.0,0.0,0.0,127.0,High,27.0,2,330,0,0
Andhra Pradesh,Nandyal,Acute Diarrheal Disease,2023-09,2023,9,127.0,27.0,0.0,0.0,0.0,None,154.0,2,330,0,3
