Date,State,District,Disease,Cases,Deaths
2020-01-20,Karnataka,Raichur,Acute Diarrheal Disease,13,0
2020-10-25,Kerala,Cannanore (Kannur),Leishmaniasis / Kala-Azar,1,0
2020-12-09,Kerala,Cannanore (Kannur),Acute Diarrheal Disease,16,0
2020-12-16,Maharashtra,Satara,Dengue,19,0
2020-12-28,Maharashtra,Satara,Dengue,8,0
2021-01-02,Karnataka,Chamarajanagara,Chikungunya,15,0
2021-01-04,Tamil Nadu,Thiruvallur,Diphtheria,1,0
2021-01-07,Maharashtra,Gondia,Acute Diarrheal Disease,194,0
2021-01-10,Maharashtra,Satara,Acute Diarrheal Disease,44,0
2021-01-11,Puducherry,Puducherry,Dengue,6,0
2021-01-13,Karnataka,Gadag,Influenza,93,0
2021-01-17,Andhra Pradesh,West Godavari,Convulsions Of Unknown Cause,29,0
2021-01-17,Karnataka,Bagalkot,Chikungunya,18,0
2021-01-17,Karnataka,Tumkur,Influenza,15,0
2021-01-18,Kerala,Trivandrum,Food Poisoning,28,0
2021-01-18,Punjab,Patiala,Acute Diarrheal Disease,41,0
2021-01-18,West Bengal,North 24 Parganas,Acute Diarrheal Disease,62,0
2021-01-20,Karnataka,Ballari,Acute Diarrheal Disease,18,1
2021-01-20,Maharashtra,Gadchiroli,Malaria,2,1
2021-01-20,Uttarakhand,Pauri Garhwal,Hepatitis/Jaundice,5,0
2021-01-24,Karnataka,Ballari,Acute Diarrheal Disease,19,0
2021-01-24,Karnataka,Chickaballapura,Acute Diarrheal Disease,61,0
2021-01-29,Andhra Pradesh,Prakasam,Rabies,1,1
2021-02-01,Karnataka,Hassan,Acute Diarrheal Disease,14,0
2021-02-02,Assam,Karbianglog (Diphu),Food Poisoning,202,0
2021-02-06,Himachal Pradesh,Bilaspur,Acute Diarrheal Disease,309,0
2021-02-07,Bihar,Supaul,Food Poisoning,40,0
2021-02-16,Tamil Nadu,Madurai,Diphtheria,1,0
2021-02-18,Odisha,Bhadrak,Food Poisoning,42,0
2021-02-21,Odisha,Kendrapara,Food Poisoning,47,0
2021-02-22,Puducherry,Puducherry,Acute Diarrheal Disease,108,0
2021-02-22,Tamil Nadu,Pudukottai,Acute Diarrheal Disease,41,0
2021-02-25,Punjab,Kapurthala,Food Poisoning,28,0
2021-03-12,Meghalaya,West Khasi Hills,Acute Diarrheal Disease,37,0
2021-03-15,Andhra Pradesh,Ananthapur,Food Poisoning,5,0
2021-03-15,Jharkhand,West Singhbhum,Chickenpox,14,0
2021-03-15,Maharashtra,Bhandara,Food Poisoning,88,1
2021-03-16,West Bengal,Puruliya,Acute Diarrheal Disease,255,0
2021-03-17,Haryana,Panipat,Diphtheria,1,0
2021-03-18,Haryana,Faridabad,Chickenpox,5,0
2021-03-18,Jharkhand,West Singhbhum,Chickenpox,8,0
2021-03-22,West Bengal,South 24 Parganas,Acute Diarrheal Disease,32,0
2021-03-24,Assam,Jorhat,Rubella,1,0
2021-03-24,Kerala,Ernakulam,Food Poisoning,19,0
2021-03-24,Odisha,Angul,Food Poisoning,127,0
2021-03-24,West Bengal,Purba Medinipur,Food Poisoning,503,0
2021-03-25,Odisha,Nawarangpur,Chickenpox,5,0
2021-03-25,West Bengal,South 24 Parganas,Acute Diarrheal Disease,57,0
2021-03-28,Kerala,Ernakulam,Acute Diarrheal Disease,19,0
2021-03-30,Tamil Nadu,Madurai,Diphtheria,1,0
2021-04-01,Odisha,Angul,Food Poisoning,24,0
2021-04-04,Odisha,Kandhamal,Acute Diarrheal Disease,10,0
2021-04-04,West Bengal,South 24 Parganas,Acute Diarrheal Disease,120,1
2021-04-05,Meghalaya,East Khasi Hills,Acute Diarrheal Disease,8,0
2021-04-05,West Bengal,Howrah,Acute Diarrheal Disease,31,0
2021-04-06,West Bengal,Burdhaman,Acute Diarrheal Disease,41,0
2021-04-07,West Bengal,Hooghly,Cholera,25,0
2021-04-09,Meghalaya,East Garo Hills,Acute Diarrheal Disease,24,0
2021-04-22,West Bengal,South 24 Parganas,Acute Diarrheal Disease,55,0
2021-07-29,Uttarakhand,Dehradun,Acute Diarrheal Disease,19,0
2021-08-25,Telangana,Nirmal,Food Poisoning,106,0
2021-12-13,Kerala,Ernakulam,Hepatitis/Jaundice,9,0
2021-12-16,Jharkhand,Sahibganj,Measles,63,0
2021-12-20,Kerala,Ernakulam,Food Poisoning,2,0
2021-12-24,Kerala,Ernakulam,Acute Diarrheal Disease,14,0
2021-12-28,Maharashtra,Kolhapur,Acute Diarrheal Disease,44,2
2021-12-31,Kerala,Thrissur,Lymes Disease,1,0
2022-01-02,Meghalaya,East Jaintia Hills,Acute Diarrheal Disease,160,0
2022-01-04,Kerala,Thrissur,Leishmaniasis / Kala-Azar,1,0
2022-01-05,Jharkhand,Godda,Measles,9,0
2022-01-10,Jharkhand,Pakur,Fever With Rash,7,0
2022-01-10,Maharashtra,Gadchiroli,Malaria,7,2
2022-01-17,Kerala,Ernakulam,Typhoid,4,0
2022-01-17,Kerala,Idukki,Food Poisoning,16,0
2022-01-18,Tamil Nadu,Pudukottai,Acute Diarrheal Disease,8,0
2022-01-21,Jharkhand,Godda,Measles,3,0
2022-01-21,Jharkhand,West Singhbhum,Chickenpox,12,0
2022-01-23,Kerala,Thrissur,Leishmaniasis / Kala-Azar,1,0
2022-01-24,Uttar Pradesh,Ballia,Diphtheria,1,0
2022-01-24,Uttar Pradesh,Fatehpur,Encephalitis Sydrome / JE,1,0
2022-01-25,Uttar Pradesh,Ballia,Pertussis,1,0
2022-01-28,Odisha,Jharsuguda,Acute Diarrheal Disease,21,1
2022-01-29,Gujarat,Banaskantha,Hepatitis/Jaundice,8,0
2022-01-31,Tamil Nadu,Ariyalur,Fever of Unknown Origin,15,0
2022-02-02,Kerala,Palakkad,Food Poisoning,61,0
2022-02-02,Kerala,Palakkad,Food Poisoning,61,0
2022-02-02,Kerala,Wayanad,Kyasanur Forest Disease,1,0
2022-02-02,West Bengal,Howrah,Hepatitis/Jaundice,44,0
2022-02-02,West Bengal,Howrah,Hepatitis/Jaundice,60,0
2022-02-05,Tamil Nadu,Ariyalur,Dengue,6,0
2022-02-06,Telangana,Narayanpet,Food Poisoning,91,0
2022-02-09,Maharashtra,Gadchiroli,Malaria,1,1
2022-02-11,Kerala,Wayanad,Mumps,30,0
2022-02-11,Odisha,Koraput,Acute Diarrheal Disease,15,0
2022-02-16,Tamil Nadu,Virudhunagar,Dengue,17,0
2022-02-17,Gujarat,Ahmedabad,Acute Diarrheal Disease,67,0
2022-02-17,Gujarat,Anand,Food Poisoning,53,0
2022-02-17,West Bengal,Burdwan,Food Poisoning,89,0
2022-02-21,Kerala,Kasaragod,Leptospirosis,18,0
2022-02-21,Odisha,Subarnapur,Chickenpox,8,0
2022-02-22,Gujarat,Panchmahal,Acute Flaccid Paralysis,7,0
2022-02-23,West Bengal,South 24 Parganas,Acute Diarrheal Disease,21,0
2022-02-23,West Bengal,South 24 Parganas,Acute Diarrheal Disease,21,0
2022-02-24,Gujarat,Mahisagar,Acute Flaccid Paralysis,2,0
2022-02-24,Karnataka,Tumkur,Chickenpox,9,0
2022-02-24,Kerala,Ernakulam,Acute Diarrheal Disease,21,0
2022-02-25,Tamil Nadu,Cuddalore,Food Poisoning,29,0
2022-02-27,Gujarat,Kheda,Acute Flaccid Paralysis (Epstein Bar Virus & Human Herpes Virus 7),2,0
2022-03-01,Maharashtra,Akola,Food Poisoning,102,0
2022-03-02,Telangana,Hanumakonda,Food Poisoning,22,0
2022-03-03,Jharkhand,West Singhbhum,Food Poisoning,9,0
2022-03-03,Karnataka,Bengaluru Rural,Rabies,1,1
2022-03-03,Karnataka,Tumakuru,Acute Diarrheal Disease,27,0
2022-03-04,Odisha,Koraput,Acute Diarrheal Disease,9,1
2022-03-05,Gujarat,Anand,Acute Diarrheal Disease,24,1
2022-03-05,Gujarat,Mahesana,Food Poisoning,1268,0
2022-03-05,Tamil Nadu,Madurai,Chickenpox,25,0
2022-03-05,West Bengal,North 24 Parganas,Acute Diarrheal Disease,359,1
2022-03-05,West Bengal,North 24 Parganas,Acute Diarrheal Disease,556,0
2022-03-06,Gujarat,Gandhinagar,Acute Diarrheal Disease,14,0
2022-03-07,Tamil Nadu,Virudhunagar - Sivakasi,Food Poisoning,7,0
2022-03-08,Gujarat,Navsari,Acute Diarrheal Disease,57,0
2022-03-08,Punjab,Faridkot,Hepatitis/Jaundice,31,0
2022-03-09,Telangana,Peddapalli,Food Poisoning,20,0
2022-03-10,Kerala,Idukki,Chickenpox,17,0
2022-03-11,Kerala,Ernakulam,Acute Diarrheal Disease,16,0
2022-03-11,Telangana,Nalgonda,Dengue,6,0
2022-03-11,Telangana,Peddapalli,Food Poisoning,12,0
2022-03-12,Maharashtra,Akola,Chikungunya,9,0
2022-03-12,Telangana,Adilabad,Food Poisoning,70,0
2022-03-15,Maharashtra,Akola,Chickenpox,5,0
2022-03-15,Telangana,Mahabubabad,Food Poisoning,56,0
2022-03-16,Kerala,Thiruvanantha Puram,Dengue,8,0
2022-03-16,Tamil Nadu,Thanjavur,Scrub Typhus,35,0
2022-03-17,Karnataka,Haveri,Acute Diarrheal Disease,25,0
2022-03-17,Madhya Pradesh,Gwalior,Acute Diarrheal Disease,48,0
2022-03-17,Tamil Nadu,Ranipet,Chickenpox,7,0
2022-03-18,Karnataka,Haveri,Acute Diarrheal Disease,36,0
2022-03-18,Tamil Nadu,Krishnagiri,Food Poisoning,7,0
2022-03-19,Tamil Nadu,Krishnagiri,Food Poisoning,6,0
2022-03-21,Kerala,Ernakulam,Acute Diarrheal Disease,21,0
2022-03-21,Maharashtra,Raigad,Dengue,11,0
2022-03-22,Karnataka,Bagalkote,Food Poisoning,63,0
2022-03-22,Karnataka,Dakshina Kannada,Acute Diarrheal Disease,29,0
