Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14
BH/NLD/2023/04/071,Bihar,Nalanda,Chickenpox,12,00,23-01-2023,23-01-2023,Under Control,,"Cases reported from Village Badi Garyari,",,22483332931678770810.pdf,,
CT/JAN/2023/04/072,Chhattisgarh,Janjgir-Champa,Chickenpox,11,00,23-01-2023,23-01-2023,Under Control,,"Cases presented with UPHC janjgir,Naila,",,22483332931678770810.pdf,,
KN/HAS/2023/04/073,Karnataka,Hassan,Human Rabies,01,01,21-01-2023,25-01-2023,Under Control,,"Case reported from Tuppadahalli village,",,22483332931678770810.pdf,,
KL/KOA/2023/04/074,Kerala,Kollam,Food Poisoning,23,00,27-01-2023,28-01-2023,Under Control,,"Cases reported from Kalakkode, FHC",,22483332931678770810.pdf,,
KL/MLP/2023/04/075,Kerala,Malappuram,Food Poisoning,20,00,21-01-23,31-01-23,Under Control,,"Cases reported from Village Angadippuram,",,22483332931678770810.pdf,,
KL/TRC/2023/04/076,Kerala,Thrissur,Acute Diarrheal Disease,30,00,26-01-23,???,Under Surveillance,,"Cases reported from CHC Aloor, District",,22483332931678770810.pdf,,
KL/WYN/2023/04/077,Kerala,Wayanad,Acute Diarrheal Disease,98,00,24-01-23,30-01-23,Under Surveillance,,"Cases reported from Village Vythiri, SC",,,,22483332931678770810.pdf
OR/DGH/2023/04/078,Odisha,Deogarh,Acute Diarrheal Disease,20,00,27-01-2023,27-01-2023,Under Control,,"Cases reported from Village Barghat,",,,,22483332931678770810.pdf
RJ/DAU/2023/04/079,Rajasthan,Dausa,Food Poisoning,103,00,25-01-2023,27-01-2023,Under Control,,Cases reported from Sansi Ki Dhani Village,,,,22483332931678770810.pdf
TN/TPL/2023/04/080,Tamil Nadu,Tiruchirappalli,Cholera,06,00,27-01-2023,28-01-2023,Under Control,,Cases reported from District Tiruchirappalli.,,22483332931678770810.pdf,,
UP/PBT/2023/04/081,Uttar Pradesh,Pilibhit,Acute Diarrheal Disease,25,00,21-01-2023,27-01-2023,Under Control,,"Cases reported from Bilsanda, District Pilibhit.",,22483332931678770810.pdf,,
KL/CNR/2023/04/083,Kerala,Kannur,Hepatitis A,12,00,17-11-22,Under Surveillance,,"Cases reported from TH Iritty, Village Thillenkery, Kanniritty",,,,22483332931678770810.pdf,
CT/BBR/2023/05/084,Chhattisgarh,Baloda Bazar,Chickenpox,52,00,21-01-2023,30-01-2023,Under Control,,"Cases reported from Village- Khairi, PHC-",,4298719451679310429.pdf,,
GJ/MHS/2023/05/085,Gujarat,Mahesana,Acute Diarrheal Disease,56,00,03-02-2023,03-02-2023,Under Control,,"Cases reported from Village Tejpura, PHC",,4298719451679310429.pdf,,
GJ/MHS/2023/05/086,Gujarat,Mahesana,Acute Diarrheal Disease,249,00,02-02-2023,02-02-2023,Under Control,,"Cases reported from Village/PHC UHC Kadi,",,4298719451679310429.pdf,,
HP/KNG/2023/05/087,Himachal Pradesh,Kangra,Acute Diarrheal Disease,112,00,31-01-2023,31-01-2023,Under Control,,Cases reported from villages Bhatehar and,,4298719451679310429.pdf,,
KL/CNR/2023/05/088,Kerala,Kannur,Food Poisoning,40,00,30-01-23,???,Under Surveillance,,"Cases reported from Village Kuttur, SC",,4298719451679310429.pdf,,
KL/KAS/2023/05/089,Kerala,Kasaragod,Suspected Food Poisoning,165,00,01-02-23,07-02-23,Under Surveillance,,"Cases reported from Village Cheemeni, FWC",,4298719451679310429.pdf,,
KL/KAS/2023/05/090,Kerala,Kasaragod,Suspected Food Poisoning,259,00,31-02-23,01-02-23,Under Surveillance,,"Cases reported from Village/SC Thimiri, FHC",,4298719451679310429.pdf,,
KL/KAS/2023/05/091,Kerala,Kasaragod,Suspected Food Poisoning,165,00,01-02-23,07-02-23,Under Surveillance,,"Cases reported from Village Thayannur, FWC",,4298719451679310429.pdf,,
KL/KAS/2023/05/092,Kerala,Kasaragod,Suspected Food Poisoning,123,00,01-02-23,07-02-23,Under Surveillance,,"Cases reported from Muliyar, Village",,4298719451679310429.pdf,,
KL/PLK/2023/05/093,Kerala,Palakkad,Influenza H3N2,23,00,26-01-23,09-02-23,Under Surveillance,,"Cases reported from CHC Koduvayur,",,4298719451679310429.pdf,,
KN/BGR/2023/05/094,Karnataka,Bengaluru,Acute Diarrheal Disease,44,00,19-01-23,31-01-23,Under Control,,Cases reported from Village/PHC/CHC,,4298719451679310429.pdf,,
KN/BEG/2023/05/095,Karnataka,Belagavi,Food Poisoning,25,00,05-02-23,06-02-23,Under Control,,"Cases reported from Village Modekoppa,",,4298719451679310429.pdf,,
KN/CKM/2023/05/096,Karnataka,Chikkamagaluru,Kyasanur Forest Disease,01,00,21-01-23,21-01-23,Under Control,,Case reported from Village B,,4298719451679310429.pdf,,
KN/DVA/2023/05/097,Karnataka,Davangere,Food Poisoning,12,00,28-01-23,30-01-23,Under Control,,"Cases reported from Village Elehole, PHC/CH",,4298719451679310429.pdf,,
KN/DVA/2023/05/098,Karnataka,Davangere,Chickenpox,13,00,23-01-23,23-01-23,Under Control,,"Cases reported from Village Bannikodu,",,4298719451679310429.pdf,,
KN/SHI/2023/05/099,Karnataka,Shivamogga,Acute Diarrheal Disease,178,00,16-01-23,17-01-23,Under Surveillance,,Cases reported from Village Muraji Desai,,4298719451679310429.pdf,,
KN/TUM/2023/05/100,Karnataka,Tumkur,Pyrexia of unknown origin,33,00,20-01-23,23-01-23,Under Surveillance,,"Cases reported from Village Kalarajanahalli,",,4298719451679310429.pdf,,
